line,$c_1$,$c_2$,$f_3$,,$f_4$,,$f_5$,,,
,,,mean,std_var,mean,std_var,mean,std_var,,
1,1,1,300,$\pm$0,400.1762581,$\pm$0.0598219187941637,508.7556306,$\pm$3.74928135820323,,
22,1.1,2,3.00E+02,$\pm$2.8421709430404E-14,400.2464358,$\pm$0.0233685217455999,507.362689,$\pm$4.37101906146171,,
59,1.5,1.3,3.00E+02,$\pm$2.8421709430404E-14,401.3789179,$\pm$0.830037696730791,503.9798362,$\pm$0,,
4,1,1.3,3.00E+02,$\pm$4.01943669423046E-14,400.2115293,$\pm$0.0648157888727336,505.9697523,$\pm$2.90077487973186,,
92,1.8,1.3,3.00E+02,$\pm$4.01943669423046E-14,401.9460621,$\pm$0.400829609026725,503.9798363,$\pm$0.994959164890729,,
,,,,,,,,,,
line,$c_1$,$c_2$,$f_6$,,$f_7$,,,,,
,,,mean,std_var,mean,std_var,,,,
1,1,1,600,$\pm$2.54247086952977E-09,715.0077687,$\pm$4.48566355076985,,,,
22,1.1,2,600,$\pm$,717.6451009,$\pm$4.67992400781624,,,,
59,1.5,1.3,600,$\pm$0,715.7845873,$\pm$0.722641293317672,,,,
4,1,1.3,600,$\pm$0,720.5262613,$\pm$3.18487233695299,,,,
92,1.8,1.3,600,$\pm$0,714.1417936,$\pm$0.519502760578799,,,,
