line,$w_max$,$w_min$,$f_3$,,$f_4$,,$f_5$,,,
,,,mean,std_var,mean,std_var,mean,std_var,,
7,0.5,0.1,300,5.68E-14,411.9933149,15.35396535,519.5674979,11.65981692,,
16,0.7,0.1,300,4.02E-14,400.305923,0.224474562,505.6380996,2.071169616,,
31,0.9,0.3,300,0,401.1012615,0.643814004,503.3165302,1.148879719,,
39,1,0.3,300,4.02E-14,401.482692,1.039040231,505.6381013,1.148879759,,
26,0.8,0.5,300,0,401.6264101,0.516568629,506.3014041,0.574438353,,
8,0.5,0.2,300,0,406.3679853,0.28314681,517.2459402,3.039644636,,
36,0.9,0.8,300,0,402.8839892,0.056844474,506.3014057,1.519822316,,
43,1,0.7,300,4.02E-14,401.8016369,0.423317691,504.9747953,6.96E-14,,
19,0.7,0.4,300,0,401.3140374,0.781741641,507.6280144,5.007845763,,
41,1,0.5,300,4.02E-14,401.8768441,0.435480311,503.9798345,1.989915595,,
,,,,,,,,,,
line,$w_max$,$w_min$,$f_6$,,$f_7$,,,,,
,,,mean,std_var,mean,std_var,,,,
7,0.5,0.1,600.6281994,0.866943288,722.9659397,4.859982167,,,,
16,0.7,0.1,600.0001242,0.00021519,719.0718791,2.465689041,,,,
31,0.9,0.3,600,0,714.56145,2.719650046,,,,
39,1,0.3,600,1.14E-13,716.0112488,1.685416903,,,,
26,0.8,0.5,600,0,710.3877055,6.981343075,,,,
8,0.5,0.2,600.5043188,0.856930987,725.0654694,7.496732854,,,,
36,0.9,0.8,600,0,716.0874979,2.258864838,,,,
43,1,0.7,600,0,716.6986316,1.358989972,,,,
19,0.7,0.4,600,0,717.6576457,1.66896619,,,,
41,1,0.5,600,0,714.0541598,0.683269548,,,,
